moehdimy_,"Menu vaksinasi dan imunisasi nya enggk bisa di klik, gimana mau cek sertifikatnyaa 🥲. Mohon segera diperbaiki lah, update tpi malah semakin jelek mah bukan update namanya"
ilhaamnau,Saya tidak bisa login karena nomer hp tidak terdaftar whatsapp padahal nik sudah terdaftar dan email tidak terdaftar
arindafebriany02,Butuh CS untuk perubahan data gusti.. sma no etiket kaga muncul2
trimartaningrum_,Min klw sudah vaksin tapi sertifikat tidak nonggol di aplikasi satus sehat giman ya cara. Ngurus nya?
ucuyvw,"Punya saya nama di sertifikat salah, sudah di wa “maaf customer service kami belum bisa melayani anda” terus aja begitu tiap hari, kirim via email ga dibales 🤦‍♂️"
buea_yudd,"Mending di tiadakan aja min tiket vaksinnya daripda orang ga bisa vaksin, atau ga balik ke aplikasi ke peduli lindung lagi kalau aplikasi satu sehat belum siap gini. 👏"
piemsprima,Sertifikat  sy hilang gak ada solusi sama skli# percuma tdk ditanggap sama peduli lindungi
nvars00,"Min saya udah vaksin booster 2 dosis 4 dan udah lama banget, sertifikat nya gak muncul di apk 😂, udah coba komplain fax,wa dll yang bales bot. terus saya harus ngadu kemana ?"
wilmaohtb,"Aplikasi SatuSehatnya gak bisa dibuka,,jangan sampailah data2 pedulilindunginya tertukar,,sdah capek2 lengan ditusuk2..😷"
yuli391ana,Sertifikat vaksin saya TDK keluar
slpinaa__,belum bisa di buka apknya😢
abytea28,kenapa q sudah vaksin boster 4hari yg lalu tapi sertifikat di aplikasi satusehat y blm muncul pak?
gustafbone,Disuruh update versi 5.2.1 lah yg ada di playstore masih versi 5.2.0
deedays2020,Bagaimana ini aplikasi tidak bisa dibuka. Saya butuh urgent
viehartati,Punya saya ga bisa dibuka.... dilaporin tetap aja ga bisa
kiyoskid,Tiket vaksin kedua ga muncul muncul. Udh kirim email gda balesan
masfuad40,"Sudak memenuhi anjuran, kalau ada problem atau perlu bantuan bisa  kirim ke email helpdesk@kemkes.go.id. sudah kirim taoi sampi sekarang dah seminggu gak ada jawaban. Mbok kalau gak niat tuh gak usah bikin susah rakyat"
yandevitri,Adminnya sepertinya hanya bisa posting. Tidak bisa balas. Tidak ada solusi untuk lebih baik.
isvann_,"stuk logo saja , gabisa masukk"
erika.tunjung,Aplikasi ttp ga bs dibuka...semua langkah sesuai anjuran sdh dicoba ttp gak bs dibuka. Minimal android 6...lha ini android 10 jg ttp gak bisa...bgmn ini mhn solusi🙏
ardianto_s_daun,Tiket vaksin tidak ada muncul
dave.susilo,Aplikasinya diem gitu aja. Cari vaksin booster d tempat saya saat ini pun susah. 😒
agus_haryanto_alee,kode verifikasi dikirim lewat wa... lah emang semua yg terdaftar nomor hpnya ada wa nya semua?? ya tolong diperhatikan...
maulanaalgentengi,"di hp android g bisa digunakan g bisa masuk menu, bisanya di hp iphone"
wandhy_nr,TIKET VAKSIN KETIGA KENAPA TIDAK MUNCUL?
ainur.rosidin93,"aplikasi beta dipaksakan launching ya begini hasilnya, nyusahin doang"
iraonees,Satusehat sy tdk bs di buka ngebleng tdk ada perintah atau petunjuk dari aplikasi nya..sdh 1 minggu tdk ada tindak lanjut nya
ananingrumshavanno,Alhamdulillah sudah..
eddie.riyanto,Maaf seribu maaf sampai sejauh ini aplikasi Peduli Lindungi masih jauh lebih baik daripada SATU SEHAT.  Saya tidak melihat banyak keluhan para pengguna Peduli Lindungi. Semoga nantinya SATU SEHAT bisa lebih baik lagi menu Resume Medis yang dibutuhkan pengguna belum bisa digunakan
normansyah1989,Lebih bagus satusehat sih nama lbh besar jelas dan cqr juga lbh besar
htusadiah31,saya sdh kirim email berapa kali tapi ngak ada balasannya.di wa juga responnya ngak menyenangkan.ini aplikasi bukannya bikin mudah orang malah mempersulit 😑😑😑
sintaw0372,Aplikasi satu sehat tdk bisa dibuka gmn sich jd pusing
wtfur2k17,Tiketnya vaksin tdk ada. Tolong di update lg . Sya mau booster gbsa
hqlprprtm_,SERTIFIKAT BELUM MUNCUL!
elementals_308,"Alhamdulillah, aplikasi nya berfungsi dengan baik, Sertifikat Vaksin sudah komplit semua ada 4 termasuk booster kedua..."
rahmatia.kurniati,Sudah
dyaningtyasya,Aplikasi nya error terus . Padahal cuma butuh sertifikat vaksin thok.... G ada respon juga WA nya... Hadehhh👏
ria_ni2019,"Jangankan untuk mengakses sertifikat, login aja g bisa🤣🤣🤣 karena minta nmr hp yg untuk daftar dulu, sdngkan nmr hp nya adh tidak aktif. Seharusnya @pedulilindungi.id bisa memberikan fitur pilihan waktu memasuki Applikasi. Hal itu sdh ada dan terjadi di Applikasi lain. Jadi itu namanya kesiapan Perubahan Applikasi, g perlu lagi menghubungin sana sini yg sedangkan WA nya saja tidak pernah ditanggapi"
fadlihidayat92,Ga usah bawa bawa sertifikat vaksin buat urusan ngelamar kerja dong.nyusahin !!!
babyel241221,"@pedulilindungi.id: Pak, SatuSehat Aku sudah di Cek Sertifikat Vaksin Covod-19.."
ditaalx,Dimana sih lihat sertifikat nya
fj48_aja,Punya saya sertifikat ko nga bisa di unduh min
leniyuliana23,Sudah vaksin 3x tapi d aplkasi satu sehat cuma muncul vaksin booster 1
smariaulfa,Sertifikat booster ku ga muncuuuuuulllllllll
anake_bakulsoto_phopho,Kenapa yg booster 2 sertifikatnya blom ada ya padahal udh booster 2 nya
ellia_28,"Tlg min , dah email pengajuan perubahan ga respon². Butuh bgt min"
elementals_308,"Buat netizen,coba diuninstal dulu aplikasi yang lama, kemudian download ulang... selamat mencoba..."
lononaut,"I cannot convert my profile to an EU or WHO certificate on the iPhone. Americans may not be eligible for an EU certificate, but they should be able to get the WHO version. The app is extremely “buggy.”"
adhisutawan,🦅🇲🇨✨️😊☕️👍terima kasih @pedulilindungi.id SUPER DUPER MEMBANTU jika 🆘️👍 @kemenkes_ri
leilasariala,Aplikasi sehati sy blm bs dibuka ...kmna bs sampaikan keluhan?
anies_pandujati,"Nama di sertifikat vaksin saya ada salah penulisan nama, saya sudah lapor baik di e-mail maupun di nomor WA tersebut, tapi sampai sekarang belum di respon Kak Admin @pedulilindungi.id"
syerlini,Bisa login .... bisa unduh.... tapi namanya orang lain....;( udah wa...... tp no solusi..... tlp beuh..... abis abisin pulsa doang..... solusi gak ada...... dr system pertama n kedua...... sepertinya sama2 gak bisa di harapkan.....;(((( Memang banyak yg di handle..... makanya kalo belum siap systemnya  mbok yaaaaaaa gimana gitu...... au ah gelap...... ;(((
bakoel_tapai,"Harusnya dibenahi dulu sistemnya haddeehhh lemot aplikasinya. Trus saya coba tambahkan anggota keluarga juga tidak bisa, justru nama anggota keluarga yg tidak saya tambahkan tiba2 muncul seperti punya anak saya. Mau tambahkan anggota istri malah blank dan ngeLAG"
octaviana.yaaa,"Belum cek dong kan ga bisa login, proses ganti nomor dr sebulan yg lalu 🤣"
devina.gusti,"Boro2, kebuka aja gak bisa min 🙄😑"
tuan_eesshh_1113,Tolong dong applikasi nya diperbaiki lagi buat pendaftaran polisi nih Min segera diperbaiki tolong @pedulilindungi.id @kemenkes_ri @pusdatinkemkes @dtokemkes
farkhanmaulana_,Cara riset/ubah data pedulilindungi
kristiawan_andy,malah TTL berubah bagman ceritanya ini ??!!
gienaaputri,Sertifikat vaksin booster pertama saya gak muncul di aplikasi satu sehat sudah coba menghubungi tpi gk bisa direspon cepat lebih mudah pake peduli lindungi
apri1077,Dowlod lagi malah yang muncul sertifikat vaksin suami doang. Punya sy ga sama sekali
mrw.jain,"Gpp beda tampilan , ini malah vaksin 4kali di aplikasi 5kali wkkwwk"
rickhy_rich,Pdhal sudah lama lewat bulan vaksin 2 ya tapi tiket booster pertama blm muncul2 juga
sheekimjulyy,"Min... Tolonglah solusinya buat yg nomor terdaftar udah hangus,gak bisa login niiihhh....jan diam aja miiinn,"
anastasia.betty,"Satusehat lagi down? Tiba2 profil saya hilang, dan tidak bisa masukkin NIK di kolom NIK."
mamanyalamya,Sertifikat booster 2 ga muncul2
aaaaaaindry,Sy tidak bisa login apk nya gmna yhh
chiau_stuff,Wa & email sama2 tdk direspon
wilvianto,Saya gak bisa login padahal sebelumnya lancar pakai peduli lindungi. Sudah lapor belom ada tanggapan dari @pedulilindungi.id . Gimana lagi sebaik nya? Apa tidak cukup cs nya untuk handle
faizahnopp,MENGECEWAKAN. SUDAH DI UPDATE TERNYATA STUCK DI LOGO AJA TRUS TIBA² BERALIH KE PENGATURAN BURAM
ntsyawjy_,Sertifikat ak salah pas mo ganti malah di suruh kek faq gttt mana cuman yang keluar sertifikat 1 abis itu salah merek vaksin sama tangggal nyaaa
aditya_f2009,"Kak, tanggal dan bulan lahir di sertifikat baru jadi salah, terbalik kayaknya format inggris. Cara lapor perbaikannya kemana ya?"
danangfa88,"Aplikasinya belum berfungsi... Kendalannya/permasalahannya apa ya sampe harus ganti aplikasi yang belum bisa berjalan dengan baik kesannya seperti buru buru. Belum beres sudah di publikasikan, masyarakat yg tidak memiliki sertifikat vaksin secara fisik jadi bingung harus menunjukkan sertifikat vaksin untuk persyaratan kepentingan tertentu"
hrs_daruma,"Mending beda tampilan ....ADA aja nggak...😂😂😂😂 , ya kan? @ennyindrayanti a@kemenkes_ri"
anna.rizkyra,Gak bisa kebuka....
novira_dewi,Sertifikat vaksin booster nggak muncul .... Gimana????
mjf_niki,pelayananya jelek banget..bintang 1⭐
masrikard,bisa di buat jaminan pinjaman ndak..??? kan sertifikat hehehehe
aennayuliana,"Kok punya saya gda muncul min sertifikat nya sama ,punya anak sama punya suami sya juga"
irul.28,"Satusehat susah bener di wa di email gak ada balasan,, lama bener responnya ya,,"
deasy_atie,Satusehat tidak bisa dibuka
ivan_921112,Min tolong ckup 4x vaksin saja ya. Lengan bdan gw sakit bngt apa lgi lengan kiri bengkak nyeri.  Ckup. 4x vaksin sj kasian kita😢😢
ivan_921112,Jangan ada lagi boostr ketiga lgi ya min. Ckup batas booster kedua aja. . lengan q pasca vaksin kmrrn  masih sakit .nyeri n bengkak panas smpe srkrg. Jadi tolong bngy jgn ada lgi booster lgi.  Ckup 4xvaksin aja
dion_ankker,Min mau tanya gimana caranya masukin data vaksinasi booster ke 2 yg di lakukan dari luar negeri???
arielestary_,"Sertifikatnya gk keluar,cuma ada tulisanya hijau"
umayaca,Bisa dibuka tapi kok cuma vaksin 1.2 yg vaksin 3 kok g ada
esthernababan,Apa urgensinya shg Peduli Lindungi hrs diganti dgn Satu Sehat?
poolmen7,"kenapa sertifikat Booster ke 2 saya belum keluar di aplikasi, sedangkan booster yg pertama sdh ada... why????"
yiyinely,"Satu sehat ndak bisa diakses, komplain ke CS dijawab sistem: antri, akan dihubungi dan cs blm bisa melayani... 😕"
ellysikumbang,"Sudah buka akunya satusehat, tp tdk bisa ada kata"" No HP tidak tetdeteksi, padahal saya dan klrg sudah vaksin sampai booster"
fajar.tirta03,"Ga pedlun, ga satusehat aplikasi nya pada ga beres, admin nya juga kurang tanggap,"
heskyharyo,Apknya benerin dulu lah
hadi.ali57,Gimana mau cek nya??? Aplikasinya saja bak bisa di buka
kusetyowardani,sudah vaksin 3 kok si sertifikatnya yg muncul sertifikat vaksin 1 yg lainya ke mana niiih....😮
alilaatmaja,"Min, buka tempat pelayanan offline dong biar CSnya sendiri yang ngotak ngatik HP gw. Semua cara yg mimin share di coment sama cara dari google udah dicoba tapi masih ga bisa dibuka aplikasinya."
achmad_sodok,Aplikasi satu sehat tidak bisa dibuka
yukke89,Waktu itu saya pakai ini..tdk bisa di sc😮n di german..akhirnya diverifikasi oleh apotek yg berbaik hati baru bisa semua diverifikasi d coronawarn app..baru bisa dipakai
ucha_fausah,Boro boro lihat e tiket aplikasi ini gk bisa dbuka punyaku
randie_real,"Ngestuck dihalaman awal ,tidak bisa dibuka applikasinya"
marcellorian294,Sudah di update ke versi terbaru min tapi kok masih tetap ya susunan sertifikatnya belum terurut dengan benar
jackyjonatantully,Harus sepakat angkat bicara....dan keluhan agar mereka tahu diri
linggommarpaung,"Jadi temen-temen sekalian, daripada buli App yang cukup meresahkan ini, coba cara yang satu ini dulu, ya. Cara ini gk perlu instal-uninstal sampai itu jempol hangus. Jadi yang belum instal, silakan instal dulu, walaupun masih stuck di flash screen. Yang sudah instal tidak usah uninstal dan kemudian instal lagi. Nah. Sampai sini paham, ya.  Trus silakan tekan ikon aplikasinya sekitar 1 detik gitu, lalu pilih info aplikasi, terus pilih penyimpanan (biasanya ada tulisan berapa MB gitu). Nah trus hapus data, ya. Bukan hanya hapus cache, ya. Udah gitu, silakan buka aplikasinya lagi, ya. Sabar. Gapapa coba aja dulu."
masfuad40,"Ternyata lebih bagus pedulilindungi. Install gak ribet, hpku jadul bisa langsung applied. Satusehat, diinstall gak bisa running, stuck....nyebelin"
lindago4899,Saya mau ubah data tlp
mariastutidwi,Sampai dg saat ini aplikasi satu sehat saya blm bisa loging. HP saya C 9 pro samsung...apa harus ganti HP ? Kalau harus ganti HP tgl di subsidi 😂😂😂😂
yeti_nj,"kalau sertifikat vaksin berhasil diunduh ada keterangan unduhan tersimpan di download? saya cari2 kok ngga ada ya min😢, di download bagian mana?"
fiqiadityaparmadi,Peduli lindungi aja masih banyak yang ga bisa make ini ganti platfom versi tiap minggu ganti makin rudet aja 😂
sandinayoone,"Ada yg sama gak sih, setelah update versi terbaru malah vaksin boster 1 dan vaksin 2 muncul malah di tanggalnya vaksin boster 1, padahal belum vaksin boster 2"
lupiyan67,Ini gimana si kok vaksin saya sampek sekarang gak masuk mana ci chat gak ada respon gitu mlayani masarakat suruh patuh peraturan ngapa haru di apgret kalau ujung nya kayak gini malah mempersulit
yuliantikasu,"Uda vaksin booster malah tulisannya vaksin 2, vaksin 1 Jhonson kan gaada vaksin 2 jadi lgsg booster, hadeuh enakan pedulilindungi"
mommy_kalista,Min..Kode otp jgn dikirim lwt wa krn ga setiap org no yg didaftarkan ada wa nya. Plis dimana² biasanya ke sms kl OTP mah..ini byk yg ga bs login ga dpt OTP.
hanchan662,TOLONG MUNCULKAN TIKET VAKSIN KETIGA 🔥🔥🔥🔥
ichetrisnawatipa,"Coba admin tiket vaksin boosterx di muncullin..mau main petak umpet kayakx ini adminya..😂😂Guee cape main petk umpet trus..gue emosii gue wa ngak d respon,gue tlfn nda d angkt,gue DM Ngak d bls..gue krim ke email ngak d respon..maux gimana sih ni @pedulilindungi.id"
esturatna,"admin sertifikat saya tanggal lahirnya salah, udah wa sama email ga ada balasan dari CS, tolong lah segera diperbaiki☹️☹️"
eko_hartanto_82,"Admin, apabila terkendala bla bla bla.... tp gak nyambung2, wa, operator, telp gak diangkat-angkat, email juga gak ada balasan, lebih baik jangan ada helpdesk sekalian."
meilina.fenny,Ngak bisa masuk
a_didik_wibowo,HP kentang Gwe mana Bisa bUka APLIKASI seHebat ini Min.. 😊
fauzi0780,"vaksin 1 dan 2 sudah Boster 1 dan 2 juga sudah....malah sertipikatnya, gak muncul...percuma di wa yg bales sistem nya (pertanyaannya dr sistem di suruh pilih) mau nanya yg lain jadi gak bisa...."
anggresabraham,Malah ribet..sertifikatnya aja ga ada
rizq.fb_14,"ni share pngalamanq ya, guys...krn data q di aplikasi peduli nihil, jadiny q ke dinsos dkota q stempat utk ngurus pmbuatan srtifikat vaksin n alhmd'ny bisa tuh...n mpek skrangpun srtifikat tu masih q simpan, dari mulai vaksin 1-booster 2"
travelschene,Mana data booster ke 2 belum muncul Min?
nentisoel,kapan bisa d gunakan saya mau vaksin susah dr pusatnya error
dchrstnataliag_,"mau minta ganti kode tiket supaya bisa di inputt kok susaah sekaliii??? saya nakes lohh, sudah vaksin sampai booster 2 tpi sertifikatnya kenapa sulit sekaliiii didapat. seperti hanya butuh sasaran vaksin tpi tidak perduli akan keberadaan tiket vaksinn sasaranyaaaaa"
letsvisitindonesia45,"Kepada yth..Presiden bapak joko widodoMentri bapak budiKetua bpjs bapak aliKetua ARSSI bapak ichsan hanafiMohon JANGAN parno dengan c19..Karna wni sudah booster 1 & 2 seharus nya pasien yg mau rawat inap tidak usah lagi di tes pcr antigen dll c19 lagi.karna ribet harus di ulang lagi, di undur untuk operasi & rawat inap nya jika tes c19 hasil nya positif c19 & jadi beban pasien nya buang uang saja, karna masih ada RS yg mewajibkan bayar sendiri untuk biaya tes c19..> Jika masih mau di adakan tes c19 untuk pasien bpjs sebelum rawat inap, mohon agar smua RS yg bekerja sama dengan bpjs agar TANPA BIAYA tes c19 nya..》Jika masih mau diadakan tes c19 mohon hanya 1× saja meskipun di cover bpjs & pasien nya negatif c19 &/ di undur operasi nya karna halangan dari dokter sbagai operator nya, maupun karna pasien nya positif c19..Seperti naik transportasi umum pesawat kereta dll tidak tes pcr antigen lagi jika sudah booster 1..-------->》Jika bpjs mau menghilangkan kelas 1-2-3 jadi sama yaitu 1 ruangan rawat inap untuk 4 orangSmua RS ada ruangan kelas 1-2-3 & vip vvip..> Apakah smua RS tsb sudah siap & mau menghilangkan ruangan kelas 1-2-3 nya menjadi sama ruangan nya isi 4 orang saja ??Harus nya smua RS nya dulu yg siapkan ruangan tsb.. Karna jangan sampai dgn alasan tidak ada ruangan saat pasien mau rawat inap>》 Karna bpjs bisa berobat hanya dengan KTP saja, alangkah baik nya jika no.bpjs & NRM_Nomor Rekam Medis sama dengan no.NIK saja..Agar smua dokter (gigi & umum & spesialis) di seluruh puskesmas klinik & RS dll agar menggunakan komputer untuk melihat NRM pasien nya, tidak usah lagi dengan file dokumen kertas..Jadi smua dokter bisa lihat mengetahui riwayat pasien saat berobat hanya via komputer yg terintegrasi online dgn kementrian kesehatan Peduli Lindungi & BPJS..Karna untuk vaksin saja menggunakan no.NIK..Agar hanya dengan 1 kartu KTP saja bisa multifungsi untuk efisien efektif & tidak ribet..Thanks.. 🏥👍🙏"
sonydregoth,"Waduh..saya sudah terlanjur update, bijimana ini...😢"
luciana_tangkeallo,"Saya berulangkali buka SATUSEHAT,....tp tidak bisa. Ada apa ya 🙏"
deviariani24,"Min.. saya sudah vaksin booster tapi status vaksin masih warna kuning, tolong segera diapdet min"
slametharihari,Setelah up gread malah nggak bisa..
slametharihari,Bikin puyeng.. Sdh up gread.. Hp sdh menunjang.. Kagak bisa di buka...aneh bner aplikasi satu sehat
nitasofiandi87,Sertifikat vaksin saya malah ilang..
limsuichiang,Kok anak saya daftar lgi TDK nama TDK ditemukan
indahnoviarini7045,Mau login aja susah
aprmoo_,"Hi min.. Pliss sistem harus diubah, jangan khusus whatsApp krn nomor sy tak bisa dibuka WA cuma bisa SMS doank.. Kenapa harus via whatsApp? Lebih baik via SMS gitu aja.."
asybloem,"Admin mau tanya, saya gak bisa bisa verifikasi , kodenya gak kekirim kirim ke nomor yang dituju gimana ya? Saya juga udah ke whatsapp tapi dri kemaren gak dibales @pedulilindungi.id"
asybloem,"Admin maaf tolong tanggapannya ya, saya tidak bisa masuk akun terkendala di bagian verifikasi kode karna tidak ada SMS yang masuk ke nomor nya @pedulilindungi.id"
adila.fasa,"Min @satusehat_id tolong dong ini sertifikat saya ngga muncul yg booster, udah by wa ngga dilempar ke no tlp CS, udah tlp CS ngga diangkat"" saya mau berpergian butuh sertifikatnya hari ini. Mohon dibantu dibales dan solusinya. Masa ngga jadi pergi cuman gara"" sistem yg nga siap, kyk mau gantiin aja tiketnya. Tolong sangat dibantu. Terimakasih"
1stdayspring,"Jika belum menerima tiket vaksinasi booster ke-2 di aplikasi, tapi kemudian mendapatkan vaksinasi booster ke-2 di puskesmas, kapan keterangan itu akan muncul di aplikasi SatuSehat?"
